year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Average
value (millions),$99.00 ,$94.00 ,$109.50 ,$147.40 ,$116.70 ,$96.30 ,$99.10 ,$91.10 ,$102.10 ,$123.80 ,$107.90 
volume (mt),"8,315","7,467","7,183","7,667","8,156","7,859","6,696","6,062","5,856","6,593","7,185"
