mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
51.88655508728517,0.018625608011037086,0.8815670214685736,50.01747426407724,51.348289658080745,51.92179293373306,52.49834229206741,53.45641053201932,2240.215270148491,0.9996389518342602
56.01437839398096,0.020804497463851122,0.9734798128698006,54.10512391954262,55.371818710046554,56.04918906951842,56.67865090513008,57.920225489055625,2189.472225349506,1.0009120825692577
59.133752040967764,0.023060084768179754,1.0805483965008214,56.90569773672386,58.44039536508704,59.13309965492219,59.89353193788865,61.16410289184655,2195.6678741880996,1.0016584399393087
0.1995035615794899,5.655588781230298e-4,0.027333337617633645,0.14973324776966565,0.18097240953555427,0.1975960924590907,0.21679931163816674,0.25841193438948723,2335.7678845306846,1.000115863032132
0.1485522054885069,3.0340799121072304e-4,0.014834912049838824,0.12118309420263275,0.1380742228478481,0.14787617259485242,0.1582618231497715,0.17971850747699328,2390.6495767655983,1.000483332163264
0.12741644256395385,2.554233444775779e-4,0.01148822024874066,0.1057959047947007,0.11972485401840857,0.12733814535825078,0.1346395637176673,0.15148445952482512,2022.9461952932324,1.0003207051271084
-0.021758549886624883,7.548889125764813e-4,0.03467351657272644,-0.08599056729549491,-0.045589703829655825,-0.0219344693017215,0.00176209822700277,0.048684936005410684,2109.7436395275186,0.999340598610401
0.10515344903241818,0.004379813623801198,0.20855711029746052,-0.3022301510262491,-0.02992931554956904,0.10250829790305116,0.24921940235719114,0.49439835098641555,2267.4553361217195,1.0000237221359851
0.11400416801027034,0.004918689161809128,0.23317919866453304,-0.33827105546441205,-0.039941732075568365,0.11823618385385204,0.27006227851228165,0.5713646004086769,2247.402475424707,0.9998264259839581
0.2093604726554919,0.004387476554775121,0.20478239312444182,-0.1905742146673789,0.06643748141524797,0.20542656153205385,0.3462851207647316,0.6100821761421187,2178.490198872599,1.0006336077466538
-1.231222122590971,0.0069553556859308675,0.3318649924602628,-1.9440138366134845,-1.4344814998924675,-1.201347775329156,-1.008131830491703,-0.6330631389167353,2276.5867112660885,1.0001237686189104
0.8162648117595999,0.0038319418394477693,0.18352862261145966,0.4355864627291138,0.695434218742454,0.8175835897003259,0.9397075893113018,1.180992076956512,2293.8752355942584,1.0015584858296391
0.10749687304094425,0.004234435990626807,0.2033273043690409,-0.2902664918447378,-0.03046095518193362,0.106841069369919,0.24607152150105116,0.5046171295069043,2305.686524733354,1.0006328222288619
0.04130106173334105,0.004621852293183136,0.22300720094462442,-0.39783463938887265,-0.1117675706541249,0.04380093861997392,0.18672889119957126,0.4696186444024891,2328.1215421916922,1.0014509021232114
-0.6915884105902002,0.005560491169807018,0.267150519856011,-1.2444197527980998,-0.8711997570599219,-0.6708918981000833,-0.510624867427147,-0.20203064864053355,2308.265371862626,1.0001915571543372
1.8446168420575075,0.004179631317920705,0.1993037668059553,1.4564374070477961,1.7031974253709494,1.84561381429166,1.9813579769571088,2.2265125541881194,2273.81467142685,1.0008528979639355
-0.7642570797586612,0.008313689962514572,0.38375987401783457,-1.6096222383536936,-0.9965231459415527,-0.7350017358903166,-0.5018636329817425,-0.10213564982526907,2130.7449931145666,0.9994660495027823
-0.43272993817583166,0.005320981490578955,0.2563418202847117,-0.9418281098469855,-0.602653056834445,-0.42354327009365006,-0.2575391278014689,0.054934580715098845,2320.8946714538565,1.0010767914909953
-1.5462235492011172,0.008810602812788523,0.41111664391075214,-2.467078553629111,-1.8003687367319794,-1.5037590547568147,-1.2596173150209293,-0.8368720288824947,2177.303004812621,1.0000834114155752
-0.5053349343040489,0.008635051973434175,0.403408640304984,-1.3812149166634606,-0.7533864415693787,-0.4681552868813921,-0.22570354559788827,0.16919608146507598,2182.531295658727,0.9998299147013497
-0.22510396504716537,0.005232738040437714,0.25422453299166986,-0.7352762821189727,-0.3941140807577298,-0.2206187278021421,-0.04891046303216101,0.25928693481995746,2360.3528402197253,1.0004121424801626
-2.0983370343337056,0.011026848544583431,0.5163186132310814,-3.246543081044193,-2.4080200854272924,-2.055693215461382,-1.7374570013713075,-1.2265518266084126,2192.465378877693,0.9990961268027209
0.2051048776849475,0.0051438395691002356,0.2448701332669463,-0.3009734911174842,0.04345983764116185,0.21347212322933962,0.37189372361537965,0.6603503105232968,2266.1925385714644,0.9998313923997357
-2.4312670021049145,0.011586558380917662,0.5549715258563708,-3.6637177992019905,-2.7660084619833967,-2.4044328417945513,-2.037180584874121,-1.4623843596788213,2294.2064365182678,1.0002722787715634
-10111.672738604606,0.07322988977085193,3.6333162853061247,-10119.36797474642,-10113.90870366379,-10111.407623144085,-10109.050939040213,-10105.599575909113,2461.668963135798,1.0006747601696722
