mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,valid,Q5,Q50,Q95,MCSE_Q2.5,MCSE_Q25,MCSE_Q50,MCSE_Q75,MCSE_Q97.5,MCSE_SD,Bulk_ESS,Tail_ESS
52.4790495240496,0.017235698067737712,0.8070037200410469,50.74867152444578,51.982916314694904,52.52296934811496,53.030720698248174,53.9575283222881,2185,1.0023950390533263,1,51.08617283053231,52.52296934811496,53.72695910919597,0.048426625414972335,0.01815146063963269,0.02098739853627407,0.019951333454301334,0.028876670946221594,0.012189100811923571,2242,3005
56.4772115669496,0.017881105668860277,0.7984239433552405,54.876431048591336,55.95493025612998,56.495574017684426,57.025651865034455,57.97721051708879,2012,1.0033993530033325,1,55.14605262876838,56.495574017684426,57.74358146844343,0.048467373954359516,0.02406675128818847,0.01938204944309163,0.0191189664268272,0.030683859546858372,0.012645701175907369,2041,3059
59.11131422819399,0.018019999081048527,0.8266874833015514,57.42530282903936,58.569116368096395,59.14497021689465,59.6894258655088,60.640729131816485,2104,1.001763754971406,1,57.72058639409967,59.14497021689465,60.408164618692446,0.04592378477713055,0.023558612740920637,0.02253821231027686,0.02113029668558397,0.033738189825584186,0.012743829813252922,2125,3688
0.20191913858280588,3.15041289152637e-4,0.02144753061873623,0.16437435861109656,0.1869437388946425,0.20047537248155872,0.21522478340116366,0.24935748424458062,4613,1.0000559457672453,1,0.1694591356378706,0.20047537248155872,0.23957508907390318,5.799797160390835e-4,3.446276190014197e-4,3.101142349456326e-4,4.387953936742517e-4,0.001246130482316768,2.2506112621894136e-4,4757,4392
0.1709194619047889,1.8478089129744048e-4,0.01153168234910005,0.14958877243980565,0.16295005216379174,0.17053423601156104,0.1785366118999867,0.1945783844765555,3800,1.0014014032233032,1,0.15260534950160398,0.17053423601156104,0.1903565847287267,3.582920399059497e-4,2.3578144907268617e-4,2.0546289945580498e-4,2.6788173265129833e-4,6.171967464383976e-4,1.3075693203038223e-4,3897,4750
0.1547683982411209,1.6968524498546815e-4,0.009547796328226131,0.1362096334830511,0.14818547273295576,0.15457066319541538,0.16102214556336694,0.1739324279502728,3150,1.000835246258303,1,0.1394459910787882,0.15457066319541538,0.17059680709614616,3.5994341917917894e-4,1.994327602593271e-4,2.0149781916925513e-4,2.0264798571906217e-4,3.411105717456425e-4,1.1999664263493873e-4,3151,3836
-0.049579034118427186,5.134134017463296e-4,0.03098651618275204,-0.1093393937036239,-0.07051138379005839,-0.049805308274599724,-0.02841722923983636,0.010817737773561851,3599,1.0005106735288078,1,-0.1007485221929491,-0.049805308274599724,0.0011770715884754604,8.474664544113608e-4,5.444258259823531e-4,6.465298231810301e-4,7.291385817012053e-4,0.0011333242739492988,3.630671708449108e-4,3653,4521
-0.028927716074531224,0.004052028874829287,0.20999663521503886,-0.44507941696969777,-0.16646403635111096,-0.024095508493280793,0.10824048156722688,0.38622093267617763,2677,1.0025056461658164,1,-0.376601731265082,-0.024095508493280793,0.3131913422171412,0.00825092943528194,0.005352304166028166,0.004445143995581269,0.00577480176819023,0.0054398469300380725,0.0028655282990460037,2682,4092
-0.05167522448783915,0.004527396858479391,0.2352129138621461,-0.5200577985174587,-0.20906966563088325,-0.05332314105256897,0.10806543236005339,0.41695603692449645,2686,1.0019247765912185,1,-0.43884881373528384,-0.05332314105256897,0.3301621037605223,0.010408315911483168,0.004627351032849614,0.004836988699698175,0.005186674281889125,0.011594111996680923,0.003201699019230614,2697,3926
0.02805536061431841,0.004375194256662087,0.2046199434076814,-0.3727260264911971,-0.10588051213159777,0.02453813254959547,0.16659745223857425,0.4314080741807593,2184,1.0025425095631657,1,-0.31182059166292136,0.02453813254959547,0.3681777386238837,0.006350477363679996,0.004983771105576906,0.0045599869796171255,0.005535857652145371,0.008147393887016019,0.003094142162715966,2186,3407
-1.4650922881418988,0.005837486839030281,0.3398113462975395,-2.1807130004455493,-1.6787705478912591,-1.4464183924340375,-1.228810187735358,-0.8567505931216195,3362,1.0014125625396768,1,-2.0464704561530334,-1.4464183924340375,-0.9402412755303757,0.022140638473003182,0.008811805623717195,0.0083983581628988,0.005407837992664977,0.008946689125104434,0.0042001243445457075,3458,3849
0.6590279838629244,0.004100505786745787,0.1823221314531604,0.3034579630476278,0.5353767220961774,0.658693412525106,0.7818523293194914,1.0199061848793187,1973,1.0032286662071286,1,0.35780778617669967,0.658693412525106,0.9584016862379547,0.0056624611008295744,0.005392688316098848,0.004958504211815207,0.004357870462369906,0.009029880020433367,0.002906516650154753,1979,3299
-0.07240904154406656,0.004344690293792364,0.20636361818160598,-0.466136115118891,-0.21718677231743588,-0.07210545913708044,0.07102434847217509,0.32762830733603643,2250,1.0024114710264183,1,-0.4045321419169875,-0.07210545913708044,0.26269036369986093,0.009513216830268512,0.0052100823925735895,0.0048979775723649865,0.00500813362701269,0.007742411176507424,0.003072557232302291,2260,3843
-0.1343633613927324,0.004563911877780751,0.22835087666704165,-0.5836061579511959,-0.28864805135712945,-0.12831019717666514,0.023075505363900684,0.3013380388381004,2500,1.0017757459572936,1,-0.514311541895907,-0.12831019717666514,0.2389507715102549,0.00991341462973061,0.005233756326339378,0.005365186142205047,0.005443334402132738,0.00921428456294393,0.0032275491027019274,2501,4170
