Treatment,length_bin,mean,median,q025,q975
10.2 cm,36,0.028281713111708864,0.02725407534490236,0.015399036953640385,0.047312993054568354
10.2 cm,37,0.03277515506823208,0.031686422040990855,0.01821866825680971,0.053910867476861
10.2 cm,38,0.03795727464092193,0.03680970870367187,0.021507830373829487,0.061425122936708675
10.2 cm,39,0.043924590985576155,0.04271338807999045,0.025440110788155394,0.06996065851554356
10.2 cm,40,0.05078405771755,0.04949136461356625,0.029998517892011422,0.07948732826514868
10.2 cm,41,0.058653130634307556,0.057323928634733984,0.03549265807549238,0.09027343880828154
10.2 cm,42,0.06765941186119957,0.06624344285579709,0.041824879876205034,0.10241915638215941
10.2 cm,43,0.07793971947228659,0.07646570216635555,0.04930556484142075,0.11573117028797957
10.2 cm,44,0.0896384091626803,0.08816644633349119,0.057924731526938646,0.13072026706435003
10.2 cm,45,0.10290475976611985,0.10140582859187956,0.0679410901209015,0.14722182670578937
10.2 cm,46,0.11788923429967632,0.11634844356089893,0.07992238589392306,0.16559068364563653
10.2 cm,47,0.13473845177867722,0.13321216578642853,0.09317508367593107,0.1856823768298696
10.2 cm,48,0.1535887626999609,0.15206045301730303,0.1085737209823867,0.208314284601201
10.2 cm,49,0.17455842314336395,0.17300688854185337,0.12637036832523638,0.2325633584225054
10.2 cm,50,0.19773851629895994,0.19628626320468198,0.14635113756638865,0.25849849973624905
10.2 cm,51,0.2231829763082707,0.22183133569765445,0.16854920465661485,0.28636538479099694
10.2 cm,52,0.25089831604440166,0.24969166520417602,0.19333703265440977,0.31574595429204044
10.2 cm,53,0.28083391965171056,0.2797676642018453,0.22112141260656837,0.34668627338618474
10.2 cm,54,0.31287398538931166,0.3119960225338143,0.25162555283213545,0.37942290811615337
10.2 cm,55,0.34683233218114357,0.34601395497394727,0.2846208407619344,0.41346135428222014
10.2 cm,56,0.38245124748525333,0.3817618122526695,0.319905679379339,0.4486803448325912
10.2 cm,57,0.4194053026224008,0.4188865209132395,0.3568114827968456,0.48396244357637436
10.2 cm,58,0.45731058075022984,0.45712942529732725,0.39530565509935456,0.5207341053749753
10.2 cm,59,0.4957390962293041,0.4956860577938502,0.4348581737925469,0.5574428525323099
10.2 cm,60,0.5342374389212202,0.5342756494671501,0.4751843253286456,0.5933419478992508
10.2 cm,61,0.5723480047041555,0.5724700677014376,0.5156437181391312,0.629402120677003
10.2 cm,62,0.6096307311641661,0.6098019800180683,0.5553591937251462,0.6631837145668726
10.2 cm,63,0.6456831576800042,0.6459455038008517,0.5941420103113196,0.6962227507512719
10.2 cm,64,0.6801569008368196,0.6804935726198054,0.6313425357794142,0.727637531154675
10.2 cm,65,0.7127692129775791,0.713079771434546,0.6668135904227853,0.7574105091006055
10.2 cm,66,0.7433090347548487,0.7435037945361009,0.7003865437251813,0.7851813525336537
10.2 cm,67,0.7716376964791125,0.7718058963718457,0.7317040246653496,0.8111420103212471
10.2 cm,68,0.7976850262040163,0.7978110495038284,0.7604694560246649,0.834443152999462
10.2 cm,69,0.8214420010312302,0.8214428599569158,0.7869445989284247,0.8555418115152725
10.2 cm,70,0.8429512153065777,0.8429437852883855,0.8110414843603384,0.8744809404070301
10.2 cm,71,0.8622963725982994,0.8623263740599074,0.8327379700158183,0.8912795697281263
10.2 cm,72,0.8795918046307607,0.8795799822991068,0.8522869961972848,0.9062305379551284
10.2 cm,73,0.8949727517664657,0.8949606827967707,0.8696575481531647,0.9194942049443268
10.2 cm,74,0.908586866003666,0.9086069878967327,0.8851679941708654,0.9309055299176022
10.2 cm,75,0.9205871585138764,0.9206329513260925,0.8992438750331087,0.9408669291760251
10.2 cm,76,0.9311264290402272,0.9312184258583911,0.9115411592892554,0.9495275824822146
10.2 cm,77,0.9403530877926858,0.9405081838552938,0.9224964164064715,0.9568406254019624
10.2 cm,78,0.9484082056208569,0.9485713479613205,0.9320497595461091,0.9633151220454864
10.2 cm,79,0.955423594293326,0.9556046798686402,0.9405304850905247,0.9688500731050066
10.2 cm,80,0.9615207137705172,0.9617319728824012,0.9480505563677903,0.9736223583173061
10.2 cm,81,0.966810216781233,0.967022186562513,0.9545738546192266,0.9776522316490288
10.2 cm,82,0.9713919643827941,0.9716451224179639,0.9603582208763414,0.9810735997082491
10.2 cm,83,0.9753553734683688,0.9756268511604602,0.965297606327474,0.9840358975067797
10.2 cm,84,0.9787799844544082,0.9790485135791428,0.9697112281672133,0.9865066815999887
10.2 cm,85,0.9817361623561848,0.9819893115597351,0.9735835462001748,0.9885988131430036
10.2 cm,86,0.9842858660396383,0.9845343682866796,0.976905795834767,0.9903916763332217
10.2 cm,87,0.9864834382982672,0.9867147980364542,0.9798541605864262,0.9919047917157553
10.2 cm,88,0.9883763836851124,0.9885948579006898,0.9824189645642296,0.9931933337810394
10.2 cm,89,0.9900061121170987,0.9902088660306263,0.9846707724428361,0.9942562647447637
10.2 cm,90,0.9914086346467949,0.991597892500307,0.9866470070377603,0.9951467559753866
10.2 cm,91,0.9926152039606324,0.9927944484176623,0.9883643562611386,0.9959150453745924
10.2 cm,92,0.9936528965707583,0.9938185945071935,0.989863261304534,0.9965596202954524
10.2 cm,93,0.9945451367176809,0.9946964744358666,0.991174641008548,0.9971087861468457
10.2 cm,94,0.9953121640237138,0.9954455516629914,0.99230956539723425,0.997568882856854
10.2 cm,95,0.9959714481997844,0.9960951021219266,0.9933108021808754,0.9979560813601145
10.2 cm,96,0.9965380548202368,0.9966533235310473,0.9941613674015197,0.9982804235424935
10.2 cm,97,0.9970249665032713,0.9971318225798876,0.9949041844917315,0.9985508736487219
10.2 cm,98,0.9974433638905763,0.9975416647888458,0.9955582404558442,0.9987788473683795
10.2 cm,99,0.9978028706990052,0.9978934177761823,0.9961342775193056,0.9989752912363704
10.2 cm,100,0.9981117668858215,0.9981944590382117,0.996626389129369,0.9991380972557887
