Treatment,n,n_lengths,mean_length,se_length
Control,5216,4059,56.716654348361665,0.1250736975725074
3.5 in,3604,2827,57.99327909444641,0.14522858092242275
3.75 in,2918,2244,58.22370766488414,0.18472340652701416
4 in,2495,1977,58.23166413758219,0.20770740579132957
Total,14233,11107,57.615728819663275,0.07909573753023666
