s50[1],s50[2],s50[3],slp[1],slp[2],slp[3],log_delta,nu[1],nu[2],nu[3],nu[4],nu[5],nu[6],nu[7],nu[8],nu[9],nu[10],nu[11],nu[12],nu[13],nu[14],nu[15],nu[16],nu[17],lp__
54.98664995207568,58.53120785994263,60.818473252540564,0.21454061280130862,0.18334062124094005,0.15637663375437855,-0.056048998935640526,-0.47157839439478355,-0.5030536713552136,-0.24684051516529504,-2.0321106577292913,0.08743295659564243,-0.4491381691791414,-0.6018218153292141,-0.9479731733489825,1.5934985033163631,-0.49949982546099925,-0.9679628993932816,-1.8524250022582365,-0.7017087484741413,-0.991642475958141,-2.5966244686169015,-0.32459296800945836,-3.6862709721657927,-10272.434397267049
53.627647697466244,57.99367818776777,61.271615735935136,0.20546935248797346,0.18172775120937748,0.15787181922666588,-0.0792525289648136,-0.3407621997325201,-0.4313320981066546,-0.314542764874453,-1.7473417623723728,0.17794002096411532,-0.508121578715194,-0.5150790016734996,-1.1123805995297098,1.4171273720720823,-0.7392118638011622,-1.045895809723488,-2.020253153806195,-1.1185215640252197,-1.113169869906141,-2.329430866207689,-0.46996423505014295,-3.536220732216706,-10264.337278934236
53.24046845705814,58.392465337593826,59.40358737717,0.22050595449226157,0.18361831769797463,0.17425541245008627,-0.06514466373532057,-0.3452195015411883,-0.42430792627244074,-0.26247711799958395,-2.1687488156148946,0.4204520707032211,-0.31222072995894834,-0.37982846108835844,-1.3610601131769249,1.4721602553904862,-1.2445813575819553,-0.9693066691891703,-2.0282916813804466,-0.5746697352173431,-0.25576861349098934,-2.830676277260946,-0.1948957653215313,-1.9996701678735098,-10267.239361713679
53.93074035045928,57.02674066959591,60.77887852444026,0.18852399579229825,0.19636569175526672,0.16529820017824165,-0.048451505341156054,-0.4544354527568544,-0.05975058019061663,-0.30670739063189423,-2.174133149441748,0.47129758914051134,-0.1528524683336565,-0.7944878665496944,-1.1458302477895477,1.5141731754210834,-1.103213152498479,-1.050734190236522,-1.3440536190265737,-0.16596120355874966,-0.5616271981396217,-2.708970487055824,-0.05528231394555583,-2.790394801808136,-10272.38259111424
53.3076063497824,58.761182195188546,59.33780745168572,0.21114463547142953,0.167347077509648,0.17338492408275322,-0.05887624071434505,-0.21202671897697112,-0.44683369735732015,-0.14511864322866685,-1.163690876161092,0.40047903090593895,-0.37408149518735456,-0.5052284212981517,-1.1190818838833492,1.6969502330690833,-0.9670050106651518,-1.0649021434001158,-2.456480024673191,-0.79766281296039665,-0.7547995867868975,-2.579914718990588,-0.16310669988862525,-2.3387017115214084,-10267.555710567623
54.41502684803999,56.64579549278807,60.87739962079538,0.21516248568535704,0.1697778675217118,0.16269449864777258,-0.09433156968655654,-0.5806036582742626,-0.023676139733969315,-0.27821702710043184,-2.025933503756564,0.3101935366862776,-0.5562156043031106,-0.33719656308863044,-0.9893282293773433,1.158514282241148,-0.8325552303553589,-0.9779765231987181,-2.636200651025109,-0.4770033392725024,-0.7075403657779642,-1.4964765772499566,-0.2251393677465483,-2.5663009352382247,-10276.823773466247
51.47687714228424,57.183557029247076,58.52315277058122,0.20619808288867286,0.18958642310139423,0.15321415132758462,-0.07730593135446195,-0.04308214928122478,-0.31973692368226736,-0.005745215076893295,-1.5591470410588713,0.7069698420759334,0.13799452568235715,-0.30989474463422084,-1.1102343579690341,2.0212055191251155,-0.656828361884676,-0.7905546661818175,-2.383462886959463,-0.8466789779039292,-0.5011304588724581,-3.6997432444498015,-0.025651774330888166,-2.581314395944884,-10271.449292230784
52.88502003894923,57.21400840078535,59.66981665836478,0.20963217737007628,0.17258051737774027,0.14620342541029796,-0.0026796120205068164,-0.05431649223373469,-0.16456672051641696,0.0808598252182966,-1.1633017933760357,0.7360820935882364,-0.014539179095959476,0.14233320921087067,-0.9076128665766614,1.847338455083487,-0.899873503597246,-0.44297483316314423,-1.2812825601057307,-0.24831086980205264,-0.44751592884725255,-1.095968925333175,-0.06429072095042176,-3.0275535830944147,-10265.012098429164
52.1465489234422,55.70330679415668,59.66615759215419,0.19441171437035962,0.17207777229978324,0.14980616011576556,-0.02929825330819913,-0.010120311539115079,-0.22068832413395967,0.02601385083066088,-1.36996786639238,0.6496593727946607,-0.11098512050893206,0.07845802505763277,-0.521025269610579,1.7016987183702135,-0.848273316541091,-0.34736223428385493,-1.6311355161395626,-0.21233090184489,-0.40176753462534887,-1.9214783926700574,0.19266323721020662,-3.0163315620353117,-10262.911879745234
51.440814395780365,56.729877383368645,57.78252716252845,0.16771790482816681,0.18430301309088057,0.15160911495308668,-0.0668955455531437,0.17723343865121866,-0.041373263311185404,0.01946484662019543,-1.2049251574077346,0.8254016863569635,-0.00590419760160632,-0.3678976399232603,-0.9359707750169015,1.889008276406832,-0.2646712371931699,-0.8986503802636481,-1.2831113728882446,-0.5691225083269682,-0.0365970428144724,-2.2842670216924867,0.17347035246218212,-2.44290997549348,-10267.652485040882
